,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,believes_is_better_than_partner_A_yes,believes_is_better_than_partner_A_no,believes_is_better_than_partner_B_yes,believes_is_better_than_partner_B_no,bored_with_game_A_yes,bored_with_game_A_no,bored_with_game_B_yes,bored_with_game_B_no,difficult_for_partner_to_speak_A_yes,difficult_for_partner_to_speak_A_no,difficult_for_partner_to_speak_B_yes,difficult_for_partner_to_speak_B_no,directs_the_conversation_A_yes,directs_the_conversation_A_no,directs_the_conversation_B_yes,directs_the_conversation_B_no,contributes_to_successful_completion_A_yes,contributes_to_successful_completion_A_no,contributes_to_successful_completion_B_yes,contributes_to_successful_completion_B_no,frustrated_with_partner_A_yes,frustrated_with_partner_A_no,frustrated_with_partner_B_yes,frustrated_with_partner_B_no,frustrated_with_game_A_yes,frustrated_with_game_A_no,frustrated_with_game_B_yes,frustrated_with_game_B_no,engaged_in_game_A_yes,engaged_in_game_A_no,engaged_in_game_B_yes,engaged_in_game_B_no,gives_encouragement_A_yes,gives_encouragement_A_no,gives_encouragement_B_yes,gives_encouragement_B_no,making_self_clear_A_yes,making_self_clear_A_no,making_self_clear_B_yes,making_self_clear_B_no,planning_what_to_say_A_yes,planning_what_to_say_A_no,planning_what_to_say_B_yes,planning_what_to_say_B_no,polite_A_yes,polite_A_no,polite_B_yes,polite_B_no,dislikes_partner_A_yes,dislikes_partner_A_no,dislikes_partner_B_yes,dislikes_partner_B_no,trying_to_be_liked_A_yes,trying_to_be_liked_A_no,trying_to_be_liked_B_yes,trying_to_be_liked_B_no,trying_to_dominate_A_yes,trying_to_dominate_A_no,trying_to_dominate_B_yes,trying_to_dominate_B_no,conversation_awkward_yes,conversation_awkward_no,flow_naturally_yes,flow_naturally_no,hard_time_understanding_each_other_yes,hard_time_understanding_each_other_no,like_more_A,like_more_B,rather_have_as_a_partner_A,rather_have_as_a_partner_B,directing_the_conversation_A,directing_the_conversation_B,dominates_the_conversation_A,dominates_the_conversation_B,likes_the_other_person_more_A,likes_the_other_person_more_B,acting_superior_A,acting_superior_B,more_polite_A,more_polite_B,more_frustrated_A,more_frustrated_B
62,11.0,5.0,8.0,0.0,473.1571419092761,0.5447867943500524,3.0,g5t11,5.0,11.0,2.0,3.0,1.0,4.0,0.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,0.0,5.0,0.0,2.0,3.0,1.0,4.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,0.0,5.0,1.0,4.0,0.0,5.0,2.0,3.0,3.0,2.0,0.0,5.0,0.0,5.0,5.0,0.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,5.0,0.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0
64,13.0,5.0,14.0,0.0,410.36145570325533,-0.22229043660769648,5.0,g5t13,5.0,13.0,0.0,5.0,0.0,5.0,2.0,3.0,1.0,4.0,2.0,3.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,4.0,5.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,2.0,3.0,0.0,5.0,4.0,1.0,2.0,3.0,1.0,4.0,1.0,4.0,3.0,2.0,5.0,0.0,5.0,0.0,3.0,2.0,5.0,0.0,4.0,1.0,4.0,1.0
66,14.0,5.0,6.0,0.0,330.01258117221545,0.3541951712837697,4.0,g5t14,5.0,14.0,1.0,4.0,1.0,4.0,3.0,2.0,1.0,4.0,0.0,5.0,1.0,4.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,0.0,2.0,3.0,4.0,1.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,3.0,2.0,0.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,4.0,0.0,5.0,0.0,5.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0
68,3.0,6.0,8.0,0.0,386.0093519277823,-0.5183931578477154,2.0,g6t3,6.0,3.0,1.0,4.0,0.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,0.0,2.0,3.0,3.0,2.0,1.0,4.0,5.0,0.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,0.0,4.0,1.0,0.0,5.0,1.0,4.0,4.0,1.0,2.0,3.0,2.0,3.0,0.0,5.0,3.0,2.0,3.0,2.0,1.0,4.0,5.0,0.0,4.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,2.0,3.0,4.0,1.0
70,4.0,6.0,12.0,0.0,294.0764427285775,-0.27058897175687135,4.0,g6t4,6.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,0.0,0.0,5.0,0.0,5.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,4.0,1.0,0.0,5.0,4.0,1.0,2.0,3.0,3.0,2.0,5.0,0.0,1.0,4.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,4.0,4.0,1.0,3.0,2.0,0.0,5.0,2.0,3.0,0.0,5.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,2.0,4.0,1.0,4.0,1.0,5.0,0.0,1.0,4.0,0.0,5.0,1.0,4.0
72,5.0,6.0,7.0,0.0,459.8305884738308,-0.3032461698303853,0.0,g6t5,6.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,3.0,2.0,0.0,5.0,2.0,3.0,0.0,5.0,3.0,2.0,5.0,0.0,4.0,1.0,5.0,0.0,3.0,2.0,5.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,5.0,0.0,4.0,1.0,0.0,5.0,1.0,4.0,2.0,3.0,1.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0
74,6.0,6.0,12.0,0.0,279.51791652521575,-0.3719845674180698,5.0,g6t6,6.0,6.0,2.0,3.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,3.0,2.0,1.0,4.0,1.0,4.0,0.0,5.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,0.0,1.0,4.0,4.0,1.0,2.0,3.0,5.0,0.0,4.0,1.0,1.0,4.0,0.0,5.0,1.0,4.0,3.0,2.0,1.0,4.0,4.0,1.0,4.0,1.0,0.0,5.0,1.0,4.0,4.0,1.0,4.0,1.0,0.0,5.0,0.0,5.0,3.0,2.0,1.0,4.0,1.0,4.0,3.0,2.0
76,7.0,6.0,8.0,0.0,243.47805557639944,-0.6943258812379035,1.0,g6t7,6.0,7.0,1.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,5.0,1.0,4.0,0.0,5.0,4.0,1.0,5.0,0.0,4.0,1.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,4.0,1.0,5.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,2.0,3.0,2.0,0.0,5.0,3.0,2.0,1.0,4.0,4.0,1.0,0.0,5.0,4.0,1.0,3.0,2.0,0.0,5.0,0.0,5.0,0.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0
78,8.0,6.0,14.0,0.0,286.55038549852117,-0.5184611992540396,2.0,g6t8,6.0,8.0,1.0,4.0,1.0,4.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,1.0,4.0,4.0,1.0,5.0,0.0,2.0,3.0,4.0,1.0,0.0,5.0,0.0,5.0,3.0,2.0,5.0,0.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0,0.0,1.0,4.0,3.0,2.0,1.0,4.0,5.0,0.0,4.0,1.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,0.0,5.0,2.0,3.0,5.0,0.0,1.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0
80,9.0,6.0,10.0,0.0,300.4982523554292,-0.21243493912580005,1.0,g6t9,6.0,9.0,2.0,3.0,0.0,5.0,1.0,4.0,4.0,1.0,0.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,4.0,1.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,5.0,0.0,2.0,3.0,3.0,2.0,1.0,4.0,4.0,1.0,3.0,2.0,4.0,1.0,0.0,5.0,5.0,0.0,3.0,2.0,1.0,4.0,2.0,3.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,2.0,3.0,3.0,2.0,0.0,5.0,5.0,0.0,4.0,1.0,5.0,0.0,5.0,0.0,2.0,3.0,4.0,1.0,1.0,4.0,4.0,1.0
82,10.0,6.0,9.0,0.0,358.6046783363995,-0.5030753403667066,0.0,g6t10,6.0,10.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,4.0,1.0,1.0,4.0,0.0,5.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,5.0,0.0,4.0,1.0,4.0,1.0,2.0,3.0,5.0,0.0,4.0,1.0,0.0,5.0,0.0,5.0,3.0,2.0,3.0,2.0,0.0,5.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,0.0,5.0,0.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0
84,12.0,6.0,10.0,0.0,226.935114293305,0.5296008140425599,1.0,g6t12,6.0,12.0,4.0,1.0,0.0,5.0,2.0,3.0,0.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,0.0,4.0,1.0,5.0,0.0,4.0,1.0,0.0,5.0,1.0,4.0,0.0,5.0,3.0,2.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,2.0,3.0,4.0,1.0,4.0,1.0,5.0,0.0,1.0,4.0,0.0,5.0,1.0,4.0,4.0,1.0,0.0,5.0,1.0,4.0,2.0,3.0,3.0,2.0,0.0,5.0,2.0,3.0,2.0,3.0,0.0,5.0,0.0,5.0,1.0,4.0,3.0,2.0,4.0,1.0,2.0,3.0
86,3.0,7.0,8.0,0.0,566.1954879689627,0.5243539661542022,0.0,g7t3,7.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,0.0,5.0,5.0,0.0,1.0,4.0,4.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,5.0,0.0,1.0,4.0,4.0,1.0,5.0,0.0,5.0,0.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,5.0,1.0,4.0,0.0,5.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0
88,4.0,7.0,10.0,0.0,542.1947895165554,-0.36120032644410227,4.0,g7t4,7.0,4.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,4.0,1.0,1.0,4.0,4.0,1.0,5.0,0.0,0.0,5.0,2.0,3.0,1.0,4.0,1.0,4.0,5.0,0.0,5.0,0.0,4.0,1.0,2.0,3.0,3.0,2.0,5.0,0.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,4.0,3.0,2.0,1.0,4.0,2.0,3.0,0.0,5.0,1.0,4.0,4.0,1.0,3.0,2.0,1.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0,4.0,1.0,4.0
90,5.0,7.0,18.0,0.0,650.9874580196074,-0.36482070381892495,0.0,g7t5,7.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,0.0,5.0,2.0,3.0,3.0,2.0,0.0,5.0,5.0,0.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,0.0,5.0,3.0,2.0,5.0,0.0,4.0,1.0,0.0,5.0,3.0,2.0,5.0,0.0,2.0,3.0,0.0,5.0,4.0,1.0,5.0,0.0,2.0,3.0,5.0,0.0,3.0,2.0,1.0,4.0,0.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,0.0,5.0,1.0,4.0
92,6.0,7.0,5.0,0.0,521.4074729382439,0.8341312617133926,0.0,g7t6,7.0,6.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,4.0,1.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,5.0,0.0,2.0,3.0,4.0,1.0,4.0,1.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,1.0,1.0,4.0,0.0,5.0,0.0,5.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0
94,8.0,7.0,7.0,0.0,671.7703130970416,-0.7238511830290372,0.0,g7t8,7.0,8.0,1.0,4.0,0.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,5.0,1.0,4.0,4.0,1.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,4.0,5.0,0.0,3.0,2.0,0.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,0.0,5.0,1.0,4.0,5.0,0.0,1.0,4.0,1.0,4.0,2.0,3.0
96,9.0,7.0,13.0,0.0,713.4878936279812,-0.4017378130793722,4.0,g7t9,7.0,9.0,0.0,5.0,2.0,3.0,0.0,5.0,2.0,3.0,2.0,3.0,1.0,4.0,5.0,0.0,1.0,4.0,2.0,3.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,0.0,5.0,4.0,1.0,0.0,5.0,2.0,3.0,5.0,0.0,4.0,1.0,0.0,5.0,1.0,4.0,3.0,2.0,0.0,5.0,0.0,5.0,1.0,4.0,2.0,3.0,3.0,2.0,5.0,0.0,2.0,3.0,1.0,4.0,4.0,1.0,5.0,0.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0
98,10.0,7.0,8.0,0.0,682.4537468372531,0.4817921520732615,0.0,g7t10,7.0,10.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,5.0,0.0,0.0,5.0,1.0,4.0,5.0,0.0,2.0,3.0,0.0,5.0,0.0,5.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,0.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,1.0,4.0,5.0,0.0
100,11.0,7.0,7.0,0.0,491.6444566737131,-0.12025573504267476,1.0,g7t11,7.0,11.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,2.0,3.0,0.0,5.0,1.0,4.0,1.0,4.0,5.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,4.0,1.0,5.0,0.0,3.0,2.0,4.0,1.0,4.0,1.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,2.0,3.0,2.0,2.0,3.0,0.0,5.0,0.0,5.0,5.0,0.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,2.0,3.0,2.0,3.0
102,12.0,7.0,9.0,0.0,555.1888810605632,-0.503874687011791,3.0,g7t12,7.0,12.0,0.0,5.0,2.0,3.0,0.0,5.0,1.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,2.0,3.0,0.0,5.0,2.0,3.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,5.0,0.0,2.0,3.0,3.0,2.0,4.0,1.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,2.0,4.0,1.0,0.0,5.0,2.0,3.0,0.0,5.0,5.0,0.0,1.0,4.0,3.0,2.0,4.0,1.0,0.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,0.0,5.0,2.0,3.0
104,14.0,7.0,6.0,0.0,548.8451620853601,-0.8505740526458598,0.0,g7t14,7.0,14.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,4.0,1.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,2.0,4.0,1.0,4.0,1.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,4.0,1.0,1.0,4.0,4.0,1.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,4.0,1.0,1.0,4.0,2.0,3.0,4.0,1.0
106,3.0,8.0,6.0,0.0,398.9977679485193,0.4279178828104579,0.0,g8t3,8.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,5.0,0.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,5.0,0.0,4.0,1.0,3.0,2.0,4.0,1.0,5.0,0.0,1.0,4.0,0.0,5.0,4.0,1.0,4.0,1.0,2.0,3.0,0.0,5.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,4.0,1.0,4.0,5.0,0.0,5.0,0.0,2.0,3.0,4.0,1.0,4.0,1.0,4.0,1.0
108,5.0,8.0,9.0,0.0,366.8733510604994,-0.4336771581479872,1.0,g8t5,8.0,5.0,1.0,4.0,0.0,5.0,1.0,4.0,0.0,5.0,2.0,3.0,0.0,5.0,2.0,3.0,4.0,1.0,2.0,3.0,5.0,0.0,0.0,5.0,2.0,3.0,1.0,4.0,1.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,0.0,2.0,3.0,4.0,1.0,4.0,1.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,4.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,0.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0
110,6.0,8.0,7.0,0.0,461.0635891020963,-0.728228843666708,0.0,g8t6,8.0,6.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,4.0,0.0,5.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,4.0,1.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,4.0,1.0,5.0,0.0,4.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,5.0,2.0,3.0,1.0,4.0,5.0,0.0,0.0,5.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0
112,7.0,8.0,10.0,0.0,461.3486401046784,0.38522139497907715,1.0,g8t7,8.0,7.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,5.0,0.0,3.0,2.0,5.0,0.0,2.0,3.0,0.0,5.0,2.0,3.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,3.0,0.0,5.0,1.0,4.0,1.0,4.0,3.0,2.0,4.0,1.0,3.0,2.0
114,8.0,8.0,6.0,0.0,453.94028408659926,-0.8049991898160859,2.0,g8t8,8.0,8.0,2.0,3.0,0.0,5.0,1.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,5.0,0.0,4.0,1.0,3.0,2.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,0.0,5.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0
116,10.0,8.0,7.0,0.0,453.46265858076066,-0.5068299173906542,3.0,g8t10,8.0,10.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,5.0,0.0,1.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,4.0,1.0,5.0,0.0,4.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,2.0,3.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,4.0,1.0,3.0,2.0,0.0,5.0,2.0,3.0,4.0,1.0,0.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0
118,12.0,8.0,5.0,0.0,422.8820907802174,-0.17739776838831345,1.0,g8t12,8.0,12.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,1.0,3.0,2.0,2.0,3.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,4.0,4.0,1.0,3.0,2.0,0.0,5.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0
120,13.0,8.0,9.0,0.0,420.82797960191846,0.37035061634865674,3.0,g8t13,8.0,13.0,3.0,2.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,5.0,0.0,1.0,4.0,5.0,0.0,4.0,1.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,4.0,1.0,4.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,1.0,4.0,0.0,5.0,3.0,2.0,1.0,4.0,3.0,2.0,0.0,5.0,2.0,3.0,4.0,1.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,2.0,3.0
122,14.0,8.0,17.0,0.0,346.91060320213995,0.1770097715087489,0.0,g8t14,8.0,14.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,3.0,2.0,0.0,5.0,3.0,2.0,4.0,1.0,5.0,0.0,5.0,0.0,2.0,3.0,0.0,5.0,1.0,4.0,2.0,3.0,4.0,1.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,4.0,1.0,2.0,3.0,0.0,5.0,1.0,4.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0
124,1.0,9.0,6.0,0.0,359.36525234426654,-0.5702375446271537,0.0,g9t1,9.0,1.0,4.0,1.0,1.0,4.0,0.0,5.0,2.0,3.0,0.0,5.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,0.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,5.0,0.0,4.0,1.0,3.0,2.0,1.0,4.0,5.0,0.0,2.0,3.0,5.0,0.0,1.0,4.0,5.0,0.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,5.0,1.0,4.0,2.0,3.0,5.0,0.0,4.0,1.0,2.0,3.0,2.0,3.0,4.0,1.0,4.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0
126,2.0,9.0,5.0,0.0,274.4245897551143,0.8953961769922291,0.0,g9t2,9.0,2.0,0.0,5.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,2.0,3.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,5.0,0.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,0.0,3.0,2.0,3.0,2.0,1.0,4.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,5.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,1.0,4.0,1.0,4.0
